"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"609","a","a","GO:0031644","regulation of neurological system process","18/1059","173/23210",0.000972658603428401,0.00820770535799434,0.00610612055596224,"116837/192170/16592/19736/81907/54377/13618/18216/15234/14182/56320/225908/17967/231637/14739/14062/67888/12404",18
"692","a","a","GO:0104004","cellular response to environmental stimulus","25/1059","292/23210",0.00199669258655364,0.0148280393096809,0.0110313165110478,"13205/20528/20877/52033/22596/19361/18538/13605/59001/19362/12144/74041/12530/60530/667742/72440/26416/57741/13194/98415/80750/12649/18148/76257/20319",25
"694","a","a","GO:0110111","negative regulation of animal organ morphogenesis","7/1059","40/23210",0.00200923364811751,0.0148781725038557,0.0110686130895841,"21410/18128/58198/14234/12159/18510/17300",7
"729","a","a","GO:1905314","semi-lunar valve development","6/1059","31/23210",0.00245612444416083,0.017272739095148,0.0128500503668699,"18128/16449/56198/12159/14464/20564",6
"783","a","a","GO:0061842","microtubule organizing center localization","6/1059","33/23210",0.00341911273300692,0.0224403835695052,0.0166945183118655,"67203/20878/56150/12316/18472/20358",6
"822","a","a","GO:0009611","response to wounding","36/1059","495/23210",0.00417653072423009,0.0261109384328692,0.019425226777313,"14114/13361/224794/12266/20878/14234/68169/26416/109620/229521/77579/14165/16475/13838/14056/19716/15289/15170/17101/18039/13052/64074/15200/14268/93840/17242/22003/208177/27528/12484/14062/71436/19091/208936/18213/230959",36
"895","a","a","GO:0007626","locomotory behavior","21/1059","254/23210",0.00649139482665173,0.0372056794479285,0.0276791568613341,"11352/11784/60344/18472/13838/320790/15258/104156/17268/15902/18216/56320/18516/11906/320840/268890/20315/11899/13482/11496/15430",21
"897","a","a","GO:0051955","regulation of amino acid transport","7/1059","49/23210",0.00649416121128466,0.0372056794479285,0.0276791568613341,"11846/64051/19736/76257/18216/23967/19091",7
"912","a","a","GO:0007623","circadian rhythm","18/1059","208/23210",0.00713782621428689,0.0402200472935109,0.0299216951424159,"12534/59027/21410/21973/64707/77035/20937/11991/13194/12912/14056/18432/230908/15902/11906/19091/18212/18213",18
"942","a","a","GO:0042176","regulation of protein catabolic process","28/1059","378/23210",0.00842349406778241,0.0459536475736028,0.0341872057818591,"52033/20878/56150/18817/14629/76843/74374/13121/94232/103573/193670/260302/15519/13194/70247/13838/17698/80750/19684/20588/100503670/56736/15258/20610/208650/228769/67296/14734",28
"956","a","a","GO:1905097","regulation of guanyl-nucleotide exchange factor activity","3/1059","10/23210",0.00893027165090322,0.0479547189278909,0.0356759023660347,"13838/16765/67839",3
"965","a","a","GO:1905332","positive regulation of morphogenesis of an epithelium","6/1059","40/23210",0.00904527081667195,0.0481695821003908,0.0358357497749141,"16869/58198/20474/12159/18510/17242",6
"973","b","b","GO:0046496","nicotinamide nucleotide metabolic process","8/102","158/23210",4.92398541634342e-07,0.000520418777517105,0.000436374128959403,"15277/18641/21991/14571/110208/18746/433182/16828",8
"974","b","b","GO:0019362","pyridine nucleotide metabolic process","8/102","160/23210",5.41856050230928e-07,0.000520418777517105,0.000436374128959403,"15277/18641/21991/14571/110208/18746/433182/16828",8
"975","b","b","GO:0072524","pyridine-containing compound metabolic process","8/102","165/23210",6.84461347019427e-07,0.000520418777517105,0.000436374128959403,"15277/18641/21991/14571/110208/18746/433182/16828",8
"976","b","b","GO:0006733","oxidoreduction coenzyme metabolic process","8/102","177/23210",1.16315481130599e-06,0.000663289031147238,0.000556171655827099,"15277/18641/21991/14571/110208/18746/433182/16828",8
"977","b","b","GO:0005996","monosaccharide metabolic process","9/102","253/23210",1.78685864937676e-06,0.000815164915845676,0.000683520455982645,"15277/16010/18641/21991/14571/110208/18746/16002/16828",9
"986","b","b","GO:0006090","pyruvate metabolic process","6/102","118/23210",1.37478409294809e-05,0.00223991608286756,0.00187818247886216,"15277/18641/21991/18746/433182/16828",6
"989","b","b","GO:0031647","regulation of protein stability","8/102","275/23210",2.94018053671025e-05,0.00389868897094179,0.00326907305669316,"18760/15183/50884/21848/54644/192176/22258/15901",8
"1001","b","b","GO:0031334","positive regulation of protein complex assembly","7/102","246/23210",0.000108312946375028,0.00824476878326786,0.00691328589916597,"12387/20807/329165/50884/56443/83679/224008",7
"1005","b","b","GO:1901342","regulation of vasculature development","8/102","341/23210",0.00013225232728708,0.00914144116793421,0.00766515083510762,"15277/18760/12387/12162/107869/18746/15901/16002",8
"1010","b","b","GO:1902905","positive regulation of supramolecular fiber organization","6/102","195/23210",0.000224620240928755,0.0134831255146971,0.0113056780545027,"329165/50884/56443/192176/83679/15901",6
"1018","b","b","GO:0060669","embryonic placenta morphogenesis","3/102","32/23210",0.000372542740890262,0.018473260695015,0.0154899350159635,"12162/12577/16002",3
"1019","b","b","GO:0007015","actin filament organization","8/102","400/23210",0.000388304790687051,0.0188451750544077,0.0158017873388213,"20807/329165/50884/56443/192176/68178/213556/15901",8
"1028","b","b","GO:0031056","regulation of histone modification","5/102","153/23210",0.000580794289023264,0.0236569959511083,0.0198365267510389,"18760/12387/16468/71458/16002",5
"1033","b","b","GO:0110111","negative regulation of animal organ morphogenesis","3/102","40/23210",0.000723408517794053,0.0267078681152273,0.0223947005539436,"12387/12162/71458",3
"1041","b","b","GO:0042307","positive regulation of protein import into nucleus","3/102","43/23210",0.000895016198108726,0.0295874195345798,0.0248092209300314,"18760/15183/192176",3
"1042","b","b","GO:0110053","regulation of actin filament organization","6/102","255/23210",0.000926378245388788,0.0301866968247404,0.0253117183740064,"329165/50884/56443/192176/213556/15901",6
"1062","b","b","GO:0071496","cellular response to external stimulus","6/102","285/23210",0.00163534173201529,0.0412390635926518,0.0345791912816855,"18760/12387/20807/74781/21848/16828",6
"1066","b","b","GO:0007498","mesoderm development","4/102","117/23210",0.00178217808976561,0.0430396466588037,0.0360889905069551,"12162/20807/50884/72475",4
"1067","b","b","GO:1902275","regulation of chromatin organization","5/102","197/23210",0.00179253241235701,0.0430396466588037,0.0360889905069551,"18760/12387/16468/71458/16002",5
"1068","b","b","GO:0051090","regulation of DNA-binding transcription factor activity","7/102","396/23210",0.00183820292404633,0.0436764673932258,0.0366229683442125,"18760/12387/20807/15183/107869/192176/15901",7
"1069","b","b","GO:0032535","regulation of cellular component size","7/102","397/23210",0.00186456661848948,0.0436891788892952,0.0366336270065527,"14567/20807/329165/50884/13841/56443/213556",7
"1070","b","b","GO:0048538","thymus development","3/102","56/23210",0.00192900958470103,0.0436891788892952,0.0366336270065527,"12387/20807/16468",3
"1076","b","b","GO:0001667","ameboidal-type cell migration","7/102","406/23210",0.00211529591167615,0.0459139064002283,0.0384990737807586,"14673/18760/12162/20807/20397/50884/16002",7
"1085","b","b","GO:0007096","regulation of exit from mitosis","2/102","17/23210",0.00249133445412071,0.0485703751269175,0.0407265380399221,"218294/12577",2
"1089","b","b","GO:1905331","negative regulation of morphogenesis of an epithelium","2/102","17/23210",0.00249133445412071,0.0485703751269175,0.0407265380399221,"12387/12162",2
"1092","c","c","GO:2000018","regulation of male gonad development","6/559","13/23210",2.82395626510062e-07,0.00107524305902249,0.000867349314654978,"50796/22431/26423/20346/22417/17684",6
"1093","c","c","GO:1905941","positive regulation of gonad development","6/559","14/23210",4.84125645665235e-07,0.00107524305902249,0.000867349314654978,"50796/22431/26423/20346/17684/12394",6
"1095","c","c","GO:1905939","regulation of gonad development","7/559","25/23210",1.49290762973221e-06,0.00153120553340206,0.00123515335332606,"50796/22431/26423/20346/22417/17684/12394",7
"1102","c","c","GO:0006907","pinocytosis","6/559","21/23210",7.57624101641115e-06,0.00246348476481895,0.00198718029797951,"26362/19063/13430/12389/94176/66824",6
"1104","c","c","GO:0030073","insulin secretion","18/559","223/23210",8.47675965835481e-06,0.00246348476481895,0.00198718029797951,"17202/93692/12015/93691/18125/18555/23957/74998/52055/268860/16535/13447/218461/319613/78894/101772/214597/26950",18
"1105","c","c","GO:0019216","regulation of lipid metabolic process","23/559","338/23210",8.79726553652268e-06,0.00246348476481895,0.00198718029797951,"57257/19156/16590/12724/12156/18710/22417/100504663/18783/11816/12389/218461/66148/19733/11307/19885/66294/71597/66612/12257/11539/58208/11607",23
"1106","c","c","GO:0071331","cellular response to hexose stimulus","14/559","142/23210",8.95164778133872e-06,0.00246348476481895,0.00198718029797951,"12015/93691/56485/18555/74998/52055/78943/218461/319613/78894/101772/108155/214597/26950",14
"1107","c","c","GO:0050708","regulation of protein secretion","29/559","490/23210",9.4446928746615e-06,0.00246348476481895,0.00198718029797951,"243958/107515/93692/66214/15975/12015/93691/18125/18555/18007/23957/52055/268860/12488/11816/16535/13447/218461/319613/11307/19419/78894/66824/101772/214597/66809/228607/11607/26950",29
"1108","c","c","GO:0071326","cellular response to monosaccharide stimulus","14/559","143/23210",9.70774476401486e-06,0.00246348476481895,0.00198718029797951,"12015/93691/56485/18555/74998/52055/78943/218461/319613/78894/101772/108155/214597/26950",14
