"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"492","C1","C1","GO:0050920","regulation of chemotaxis","25/1236","212/23174",0.000172192869849767,0.0018794221770188,0.00135683855296682,"11603/12317/12977/19252/13614/13642/14164/14165/14182/15289/83964/85305/16542/17242/17295/18654/19353/19876/268902/20347/20358/64074/20908/212168/67263",25
"537","C1","C1","GO:0120032","regulation of plasma membrane bounded cell projection assembly","22/1236","182/23174",0.000290645942217622,0.00290645942217622,0.00209830247022935,"11603/68743/11789/12808/23790/20430/56320/75974/13836/14432/234267/15519/106633/16590/17427/216363/19353/108911/19684/104215/235072/67046",22
"550","C1","C1","GO:1905508","protein localization to microtubule organizing center","8/1236","34/23174",0.000335098806667145,0.00327178289418648,0.00236204575111023,"11789/20878/277939/244329/18226/18536/71982/20460",8
"566","C1","C1","GO:0007611","learning or memory","30/1236","289/23174",0.000396118450935638,0.0037582262924459,0.00271323089975071,"223921/11838/11980/56710/12367/18163/14156/114142/63985/14799/16002/16400/545156/16590/259277/110648/320974/17242/17536/17967/18216/18430/18479/19224/19283/20614/66673/20897/20983/50876",30
"586","C1","C1","GO:0104004","cellular response to environmental stimulus","30/1236","292/23174",0.000471073783887825,0.00431683655200959,0.00311651651887706,"20877/12367/12530/12649/12387/13194/13205/72162/13605/13665/60530/56428/56349/18148/98415/11545/52033/667742/18971/59001/19353/19361/226594/72440/19822/19893/20319/20528/76257/20682",30
"595","C1","C1","GO:0007626","locomotory behavior","27/1236","254/23174",0.000523217080224402,0.0047221440685799,0.00340912606186019,"11496/11784/11899/320790/56320/13482/13838/104156/60344/14366/63985/15258/15430/15902/545156/110648/268890/171166/17268/17918/320840/18216/18516/20614/20618/64930/11906",27
"618","C1","C1","GO:0072350","tricarboxylic acid metabolic process","8/1236","37/23174",0.000618115839053554,0.00536552934678703,0.00387361454164788,"104112/12974/78920/14661/64602/17448/18597/66945",8
"642","C1","C1","GO:0106027","neuron projection organization","14/1236","99/23174",0.000762615772109493,0.00637888893493455,0.00460520394930196,"11838/12323/53872/18163/56320/72162/13838/13845/16400/545156/16975/56376/235072/241514",14
"655","C1","C1","GO:0006979","response to oxidative stress","37/1236","401/23174",0.000880769095020732,0.00720995432966666,0.00520518706187637,"11792/12159/12350/12367/12494/12387/13605/112405/13665/319955/104156/14056/211651/15234/11991/76936/15505/79464/16881/17279/17295/56349/11545/19017/21672/11758/72446/19224/19663/68031/19823/50880/20541/70415/21974/64930/56085",37
"659","C1","C1","GO:0061982","meiosis I cell cycle process","15/1236","112/23174",0.000895977188121936,0.00729077774219042,0.00526353708213022,"20878/237911/12447/12530/12617/268465/105988/211651/67141/72787/30939/19361/21973/21974/235559",15
"674","C1","C1","GO:0110111","negative regulation of animal organ morphogenesis","8/1236","40/23174",0.00106839470360797,0.00849967341981448,0.00613629269924076,"11789/12159/12387/17300/21410/18510/58198/21834",8
"675","C1","C1","GO:1905332","positive regulation of morphogenesis of an epithelium","8/1236","40/23174",0.00106839470360797,0.00849967341981448,0.00613629269924076,"12159/12387/16869/17242/18510/58198/20474/20682",8
"700","C1","C1","GO:0071635","negative regulation of transforming growth factor beta production","4/1236","10/23174",0.00130482884831206,0.00998138307042133,0.00720600487079521,"12484/12560/15516/17295",4
"701","C1","C1","GO:0075522","IRES-dependent viral translational initiation","4/1236","10/23174",0.00130482884831206,0.00998138307042133,0.00720600487079521,"13669/27979/55944/19205",4
"702","C1","C1","GO:1905097","regulation of guanyl-nucleotide exchange factor activity","4/1236","10/23174",0.00130482884831206,0.00998138307042133,0.00720600487079521,"13665/13838/17295/16765",4
"703","C2","C2","GO:0030198","extracellular matrix organization","62/1012","273/23174",2.4112087585358e-27,1.26757244436227e-23,8.83771462865437e-24,"11352/237360/216725/223838/77794/11606/69538/14595/67896/12814/12816/12818/12819/12842/12843/12825/12826/12827/12828/12829/12831/12832/68553/329941/12840/26427/13078/18214/407800/58859/268780/100952/13805/23871/14114/23876/14268/14758/15530/241226/16412/16416/16777/16948/17022/76293/17385/17387/17389/17390/68169/18073/18595/26432/18858/50706/53614/20356/94214/72043/21808/21810",62
