"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"39","C1","C1","GO:0072163","mesonephric epithelium development","28/1236","104/23174",6.00078446833719e-13,8.05050297451640e-11,5.81201655496303e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"40","C1","C1","GO:0072164","mesonephric tubule development","28/1236","104/23174",6.00078446833719e-13,8.05050297451640e-11,5.81201655496303e-11,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"41","C1","C1","GO:0072073","kidney epithelium development","33/1236","143/23174",6.1465665168561e-13,8.05050297451640e-11,5.81201655496303e-11,"12159/73230/12387/233651/13642/17075/13838/13841/14048/14164/14182/14260/17300/15229/14734/15213/21410/16449/269152/16776/16869/114249/18510/18654/19126/268902/58198/20474/55994/20682/24063/243931/13003",33
"42","C1","C1","GO:0051304","chromosome separation","26/1236","92/23174",1.17027948596358e-12,1.49628591419629e-10,1.08023542526413e-10,"11789/20877/11799/12235/12237/268697/52563/23834/229841/12704/268465/105988/67141/209334/68298/78658/215387/67052/59126/68501/30939/70385/21335/21973/21974/74335",26
"43","C1","C1","GO:0001823","mesonephros development","28/1236","107/23174",1.29025130862704e-12,1.61131384356447e-10,1.16327920922237e-10,"12159/73230/12387/233651/17075/14048/14164/14182/14260/17300/15229/14734/15213/21410/269152/16776/16869/114249/18510/18654/268902/58198/20474/55994/20682/24063/243931/13003",28
"44","C1","C1","GO:0007389","pattern specification process","65/1236","467/23174",1.32614495445756e-12,1.61849963759934e-10,1.16846695389167e-10,"11481/19378/216285/11789/11838/20878/12159/12160/12166/277939/207607/53883/12808/241324/12387/76441/233651/13614/13626/14048/14164/14165/14182/17300/15229/14464/14734/15111/15213/15258/21410/15395/15399/15400/15402/15404/15405/15417/209448/15424/15426/15430/81896/106633/16392/30841/16869/14725/17285/17427/13865/18510/18530/18741/224143/19726/19876/268902/212712/20319/24063/72475/20460/76365/93840",65
"45","C1","C1","GO:0048738","cardiac muscle tissue development","45/1236","259/23174",2.13038814846414e-12,2.54226319050055e-10,1.83537299433765e-10,"244810/11464/19378/11789/93760/12159/12160/12166/12301/268697/320790/12387/13052/53817/109620/13614/13642/112405/14164/14180/14182/17300/14464/14615/15213/15902/16392/16468/14725/17268/17295/109272/77579/17967/74103/18479/56376/18741/64082/19091/19736/20541/20679/76365/64930",45
"46","C1","C1","GO:0032886","regulation of microtubule-based process","42/1236","232/23174",2.87163507192537e-12,3.35232181222592e-10,2.42019038212841e-10,"11603/11789/77744/207607/12449/12649/80986/76686/12387/13640/14228/230101/209334/15505/74187/16551/212307/244329/17295/18148/18226/18479/18571/208177/70235/19353/19385/19822/66468/66140/219114/24061/13006/20460/16765/20257/21335/72119/360213/22153/103573/74335",42
"47","C1","C1","GO:0000910","cytokinesis","33/1236","153/23174",4.53015519137607e-12,5.17594327184883e-10,3.73674391261771e-10,"68743/11789/20878/20877/56208/11799/23834/12615/74107/12704/80986/52679/108961/13605/71877/216963/16319/381293/19348/240641/71819/16569/77579/18226/108907/18571/225326/26934/239336/24050/235072/50850/16765",33
"48","C1","C1","GO:0050657","nucleic acid transport","32/1236","145/23174",4.97184044922984e-12,5.40228540403855e-10,3.90015037598235e-10,"223921/24015/11838/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",32
"49","C1","C1","GO:0050658","RNA transport","32/1236","145/23174",4.97184044922984e-12,5.40228540403855e-10,3.90015037598235e-10,"223921/24015/11838/432508/68278/53817/276770/23881/74412/15382/53379/140486/319765/140488/68092/72787/230082/18148/103468/59015/18226/71805/56698/107939/19384/109095/110379/225027/107829/64930/103573/72322",32
"50","C1","C1","GO:0007052","mitotic spindle organization","27/1236","105/23174",5.08728069335243e-12,5.40228540403855e-10,3.90015037598235e-10,"223921/20878/20877/66165/11799/77744/268697/107995/229841/71877/16551/71819/16563/16569/16211/17865/67052/18226/70235/26934/24061/13006/50850/20460/16765/21335/72119",27
