	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Klhl9	7886	0.537364772185737	0.81744405072214	0.1498902845483	0.485004651618762	0.282571228299121	0.685563590873857
Slc3a1	7888	0.222727354713152	0.462874009514032	0.0961480030896269	0.0911134153490682	0.0998652278811041	-0.108236463399187
Mib2	7889	0.225066404676983	0.466592948259474	-0.773018932385144	-1.09937422036421	-0.444635744771687	-0.0250643649993727
ENSMUSG00000103522	7890	0.222727362148093	0.462874009514032	0.0987022216461823	0.105362792326756	0.0937844727191436	0.015041804526563
Yipf1	7891	0.357352730702675	0.648772518648986	0.144642308875847	1.06810119213183	1.01116170576512	-0.576133066710498
Rab26	7891	0.334091042647838	0.621923898597295	0.034719268125696	0.0898316695851365	0.0825855023900487	0.011656196500177
Cpne3	7892	0.347234463860824	0.635447618805939	-0.678288620205484	-0.0556677740964362	0.250077850677705	-0.799816805525545
Gmppb	7894	0.225644380223096	0.467073934885777	-0.945441334306289	-0.980025899907604	0.342838861216973	-0.820131346930126
Eps15l1	7895	0.205918049665953	0.437536761833768	-0.942791277857902	-0.766114665960267	-0.574048055447379	-0.952990638202854
Spopl	7899	0.206585520248079	0.438524047488402	-0.696118081352865	0.303468649116297	0.0156445409510439	-0.661886550697847
Zer1	7899	0.455598142676585	0.762096682182952	-0.785331197742634	0.0970800427780086	-0.395805925811628	0.805749599172296
ENSMUSG00000104385	7901	0.207027032758796	0.439226041043929	-0.150937802685011	-0.080499944620467	0.0301695859799609	-0.0255397802184035
Mmp20	7901	0.453622001480996	0.75964596966783	-0.0484628862056515	0.104640811175414	0.0801456518949462	0.0631064921498055
Mir1950	7902	0.331652630038188	0.619420552743279	0.0694439784342828	-0.0228626322230059	0.0693113423356657	-0.260324596387931
Klf1	7902	0.794264904412573	0.970908831293391	-0.0689036347978374	-0.113716696380844	-0.230446895116381	0.140243078345395
Gm16523	7903	0.453949437829065	0.759984266308656	-0.28270335853837	-0.555368575985945	0.131834672860225	-0.0293180830397402
Armc8	7903	0.913315966397107	1	-0.268133263534796	-0.153182800148371	0.00735027001000708	0.885240235727062
Mcm9	7904	0.207548926538634	0.440237600297348	-1.03299032927653	0.485967206410362	-0.170195113009601	0.4651151981179
ENSMUSG00000089795	7905	0.207564734909289	0.440237600297348	-0.0808984511453116	0	-0.0351646250455548	0
ENSMUSG00000089842	7906	0.334091048757951	0.621923898597295	-0.111818155164919	0.103690379466211	0.120542775054816	0.0188666853365673
ENSMUSG00000101459	7907	0.304939157582062	0.58205200519857	-0.23623704768921	-0.205470170986805	-0.220976142357546	-0.354558062433771
4931428F04Rik	7909	0.208187735447891	0.440980487367046	-0.470368091012129	-0.0748165354710804	-0.0308203408410421	-0.509995298536809
Naa30	7909	0.457526250393813	0.764085865677695	-0.636190644500566	-0.33968180747244	-0.298492072389135	-1.09513851053668
Plod3	7912	0.208453594979363	0.441347088880458	-0.886912711894187	0.453740224568893	-0.438823280138332	-0.0860615448868183
