"","x"
"851","Pappa2"
"852","Rfwd2"
"853","Tnr"
"854","4930523C07Rik"
"855","Tnn"
"856","Mrps14"
"857","Cacybp"
"858","Rabgap1l"
"859","Rc3h1"
"860","Serpinc1"
"861","Zbtb37"
"862","Dars2"
"863","Cenpl"
"864","Klhl20"
"865","Ankrd45"
"866","Prdx6"
"867","Tnfsf4"
"868","Tnfsf18"
"869","Fasl"
"870","Suco"
"871","4930558K02Rik"
"872","Pigc"
"873","Dnm3"
"874","Mettl13"
"875","Vamp4"
"876","Myoc"
"877","7420461P10Rik"
"878","Prrc2c"
"879","Fmo4"
"880","Fmo1"
"881","Fmo2"
"882","Fmo6"
"883","Fmo3"
"884","Mroh9"
"885","Prrx1"
"886","Gorab"
"887","Mettl11b"
"888","Kifap3"
"889","Scyl3"
"890","BC055324"
"891","Mettl18"
"892","Sele"
"893","Sell"
"894","Selp"
"895","F5"
"896","Slc19a2"
"897","Ccdc181"
"898","Blzf1"
"899","Nme7"
"900","Atp1b1"
"901","Dpt"
"902","Xcl1"
"903","Tbx19"
"904","Sft2d2"
"905","Tiprl"
"906","Gpr161"
"907","Dcaf6"
"908","Mpc2"
"909","Adcy10"
"910","Mpzl1"
"911","Rcsd1"
"912","Creg1"
"913","Cd247"
"914","Pou2f1"
"915","Dusp27"
"916","Gpa33"
"917","Mael"
"918","Ildr2"
"919","Tada1"
"920","Pogk"
"921","Gm4846"
"922","Gm4847"
"923","Fmo9"
"924","Fam78b"
"925","Uck2"
"926","Tmco1"
"927","Aldh9a1"
"928","Mgst3"
"929","Lrrc52"
"930","Rxrg"
"931","Lmx1a"
"932","Pbx1"
"933","Nuf2"
"934","Rgs5"
"935","Rgs4"
"936","1700084C01Rik"
"937","Hsd17b7"
"938","Ddr2"
"939","Uap1"
"940","Uhmk1"
"941","Sh2d1b2"
"942","Sh2d1b1"
"943","Gm7694"
"944","Nos1ap"
"945","1700015E13Rik"
"946","Olfml2b"
"947","Atf6"
"948","Dusp12"
"949","Gm26620"
"950","Fcrlb"
"951","Fcrla"
"952","Fcgr2b"
"953","Fcgr4"
"954","Fcgr3"
"955","1700009P17Rik"
"956","Sdhc"
"957","Mpz"
"958","Pcp4l1"
"959","Nr1i3"
"960","Tomm40l"
"961","Apoa2"
"962","Fcer1g"
"963","Ndufs2"
"964","Adamts4"
"965","B4galt3"
"966","Ppox"
"967","Usp21"
"968","Ufc1"
"969","Dedd"
"970","Nit1"
"971","Pfdn2"
"972","Klhdc9"
"973","Pvrl4"
"974","Arhgap30"
"975","Usf1"
"976","Tstd1"
"977","F11r"
"978","Alyref2"
"979","Itln1"
"980","Cd244"
"981","Ly9"
"982","Slamf7"
"983","Cd48"
"984","Slamf1"
"985","Cd84"
"986","Gm10521"
"987","Slamf6"
"988","Vangl2"
"989","Nhlh1"
"990","Ncstn"
"991","Copa"
"992","Pex19"
"993","Dcaf8"
"994","Pea15a"
"995","Casq1"
"996","Atp1a4"
"997","Igsf8"
"998","Atp1a2"
"999","Kcnj9"
"1000","Kcnj10"
"1001","Pigm"
"1002","Slamf9"
"1003","Igsf9"
"1004","Tagln2"
"1005","Cfap45"
"1006","Vsig8"
"1007","Slamf8"
"1008","Fcrl6"
"1009","Dusp23"
"1010","Crp"
"1011","Apcs"
"1012","Olfr16"
"1013","Olfr1408"
"1014","Olfr1406"
"1015","Olfr218"
"1016","Olfr1404"
"1017","Fcer1a"
"1018","Olfr418-ps1"
"1019","Mptx2"
"1020","Ackr1"
"1021","Cadm3"
"1022","Aim2"
"1023","Gm4955"
"1024","BC094916"
"1025","Pydc4"
"1026","Pyhin1"
"1027","Pydc3"
"1028","AI607873"
"1029","Ifi204"
"1030","Mndal"
"1031","Mnda"
"1032","Ifi203"
"1033","Ifi202b"
"1034","Ifi205"
"1035","Olfr433"
"1036","Olfr432"
"1037","Olfr430"
"1038","Olfr429"
"1039","Olfr427"
"1040","Olfr231"
"1041","Olfr424"
"1042","Olfr420"
"1043","Spta1"
"1044","Olfr419"
"1045","Mptx1"
"1046","Olfr417"
"1047","Olfr248"
"1048","Olfr414"
"1049","Olfr220"
"1050","Fmn2"
"1051","Grem2"
"1052","Rgs7"
"1053","Fh1"
"1054","Kmo"
"1055","Opn3"
"1056","Chml"
"1057","Wdr64"
"1058","Exo1"
"1059","Pld5"
"1060","B020018G12Rik"
"1061","Cep170"
"1062","Sdccag8"
"1063","Akt3"
"1064","Zbtb18"
"1065","1700016C15Rik"
"1066","Adss"
"1067","Gm16432"
"1068","Desi2"
"1069","Cox20"
"1070","Gm28062"
"1071","Hnrnpu"
"1072","Efcab2"
"1073","Kif26b"
"1074","Smyd3"
"1075","Tfb2m"
"1076","Cnst"
"1077","Sccpdh"
"1078","Gm1305"
"1079","Ahctf1"
"1080","Gm10518"
"1081","Cdc42bpa"
"1082","Adck3"
"1083","Psen2"
"1084","Itpkb"
"1085","6330403A02Rik"
"1086","Parp1"
"1087","Lin9"
"1088","Mixl1"
"1089","Acbd3"
"1090","H3f3a"
"1091","Sde2"
"1092","Lefty2"
"1093","Pycr2"
"1094","Lefty1"
"1095","Tmem63a"
"1096","Ephx1"
"1097","9130409I23Rik"
"1098","Nvl"
"1099","Cnih4"
"1100","Wdr26"
"1101","Cnih3"
"1102","Ccdc121"
"1103","Dnah14"
"1104","Lbr"
"1105","Enah"
"1106","Srp9"
"1107","Vmn1r1"
"1108","Degs1"
"1109","Fbxo28"
"1110","Trp53bp2"
"1111","Capn2"
"1112","Capn8"
"1113","Ccdc185"
"1114","Susd4"
"1115","Tlr5"
"1116","Disp1"
"1117","Brox"
"1118","Aida"
"1119","Mia3"
"1120","Taf1a"
"1121","Hhipl2"
"1122","Dusp10"
"1123","1700056E22Rik"
"1124","Hlx"
"1125","Marc1"
"1126","Marc2"
"1127","C130074G19Rik"
"1128","Mark1"
"1129","Rab3gap2"
"1130","Iars2"
"1131","Bpnt1"
"1132","Eprs"
"1133","Slc30a10"
"1134","Lyplal1"
"1135","Tgfb2"
"1136","Rrp15"
"1137","D1Pas1"
"1138","Spata17"
"1139","Gpatch2"
"1140","Esrrg"
"1141","Ush2a"
"1142","Kctd3"
"1143","Kcnk2"
"1144","Cenpf"
"1145","Ptpn14"
"1146","Smyd2"
"1147","Prox1"
"1148","Rps6kc1"
"1149","Angel2"
"1150","Vash2"
"1151","Mfsd7b"
"1152","Spata45"
"1153","Tatdn3"
"1154","Nsl1"
"1155","Batf3"
"1156","Fam71a"
"1157","Atf3"
"1158","Nenf"
"1159","Tmem206"
"1160","Ppp2r5a"
"1161","Dtl"
"1162","Ints7"
"1163","Lpgat1"
"1164","Nek2"
"1165","Slc30a1"
"1166","Rd3"
"1167","Traf5"
"1168","Rcor3"
"1169","Kcnh1"
"1170","Hhat"
"1171","Sertad4"
"1172","Syt14"
"1173","Diexf"
"1174","Irf6"
"1175","A130010J15Rik"
"1176","Traf3ip3"
"1177","Lamb3"
"1178","Hsd11b1"
"1179","G0s2"
"1180","Camk1g"
"1181","Plxna2"
"1182","Cd34"
"1183","Cd46"
"1184","Cr1l"
"1185","Cr2"
"1186","Fam171a1"
"1187","Nmt2"
"1188","Rpp38"
"1189","Acbd7"
"1190","Olah"
"1191","Meig1"
"1192","Dclre1c"
"1193","Suv39h2"
"1194","Hspa14"
"1195","Cdnf"
"1196","Fam107b"
"1197","Frmd4a"
"1198","Prpf18"
"1199","Bend7"
"1200","Sephs1"
"1201","Phyh"
"1202","Ucma"
"1203","Mcm10"
"1204","Optn"
"1205","Ccdc3"
"1206","Camk1d"
"1207","Cdc123"
"1208","Nudt5"
"1209","Gm13199"
"1210","Sec61a2"
"1211","Dhtkd1"
"1212","Upf2"
"1213","Proser2"
"1214","Echdc3"
"1215","Usp6nl"
"1216","Celf2"
"1217","Gata3"
"1218","4930412O13Rik"
"1219","9230102O04Rik"
"1220","Taf3"
"1221","Atp5c1"
"1222","Kin"
"1223","Itih2"
"1224","Itih5"
"1225","Sfmbt2"
"1226","Prkcq"
"1227","Pfkfb3"
"1228","Rbm17"
"1229","Gm17490"
"1230","Il2ra"
"1231","Il15ra"
"1232","Fbxo18"
"1233","Ankrd16"
"1234","Itga8"
"1235","Fam188a"
"1236","Pter"
"1237","C1ql3"
"1238","Rsu1"
"1239","Cubn"
"1240","Trdmt1"
"1241","Vim"
"1242","St8sia6"
"1243","Ptpla"
"1244","Stam"
"1245","Tmem236"
"1246","Mrc1"
"1247","Slc39a12"
"1248","Cacnb2"
"1249","Nsun6"
"1250","Arl5b"
"1251","Malrd1"
"1252","Plxdc2"
"1253","Nebl"
"1254","H2afb1"
"1255","A930004D18Rik"
"1256","Skida1"
"1257","Mllt10"
"1258","Dnajc1"
"1259","Commd3"
"1260","Bmi1"
"1261","Gm13334"
"1262","BC061194"
"1263","Pip4k2a"
"1264","4930426L09Rik"
"1265","Armc3"
"1266","Msrb2"
"1267","Ptf1a"
"1268","4921504E06Rik"
"1269","Otud1"
"1270","Etl4"
"1271","Arhgap21"
"1272","Enkur"
"1273","Thnsl1"
"1274","Gpr158"
"1275","Myo3a"
"1276","Gad2"
"1277","Apbb1ip"
"1278","Pdss1"
"1279","Abi1"
"1280","Acbd5"
"1281","Mastl"
"1282","Yme1l1"
"1283","4931423N10Rik"
"1284","Nxph2"
"1285","Spopl"
"1286","Hnmt"
"1287","Tbpl2"
"1288","Il1f8"
"1289","Il1f9"
"1290","Il1f6"
"1291","Il1f5"
"1292","Il1f10"
"1293","Il1rn"
"1294","Psd4"
"1295","Pax8"
"1296","Cacna1b"
"1297","Ehmt1"
"1298","Arrdc1"
"1299","Zmynd19"
"1300","Dph7"
"1301","Mrpl41"
"1302","Pnpla7"
"1303","Nsmf"
"1304","Entpd8"
"1305","Noxa1"
"1306","Nrarp"
"1307","Tor4a"
"1308","Nelfb"
"1309","4933433C11Rik"
"1310","Fam166a"
"1311","Tubb4b"
"1312","Slc34a3"
"1313","Rnf224"
"1314","Cysrt1"
"1315","Rnf208"
"1316","Ndor1"
"1317","Tmem203"
"1318","Tprn"
"1319","Ssna1"
"1320","Anapc2"
"1321","Tmem210"
"1322","Lrrc26"
"1323","Grin1"
"1324","Man1b1"
"1325","Dpp7"
"1326","Uap1l1"
"1327","Sapcd2"
"1328","Entpd2"
"1329","Npdc1"
"1330","Fut7"
"1331","Abca2"
"1332","BC029214"
"1333","Clic3"
"1334","Ptgds"
"1335","Lcn12"
"1336","C8g"
"1337","Fbxw5"
"1338","Traf2"
"1339","Edf1"
"1340","Mamdc4"
"1341","Phpt1"
"1342","Gm996"
"1343","Rabl6"
"1344","Ccdc183"
"1345","Tmem141"
